scheduling_type,resolution,iterations,threads,execution_time_ms,speedup,efficiency_percent,run_type
dynamic,1000,3000,8,5070.967,7.625,90.0,specific
dynamic,1000,3000,4,9798.273,3.946,90.0,specific
dynamic,1000,3000,2,19442.583,1.988,90.0,specific
dynamic,1000,3000,1,38666.110,1.000,100.0,specific
dynamic,1000,5000,64,4600.668,13.928,20.0,specific
dynamic,1000,5000,32,4593.936,13.949,40.0,specific
dynamic,1000,5000,24,4590.205,13.960,50.0,specific
dynamic,1000,5000,16,5059.800,12.664,70.0,specific
dynamic,1000,5000,8,8223.805,7.792,90.0,specific
dynamic,1000,5000,4,16156.335,3.966,90.0,specific
dynamic,1000,5000,2,32152.770,1.993,90.0,specific
dynamic,1000,5000,1,64075.955,1.000,100.0,specific
guided,1000,1000,1,7958,.999,90.0,benchmark
guided,2000,1000,1,31754,.250,20.0,benchmark
guided,3000,1000,1,71404,.111,10.0,benchmark
guided,1000,3000,1,22932,.346,30.0,benchmark
guided,1000,5000,1,37897,.209,20.0,benchmark
guided,1000,1000,2,4083,1.948,90.0,benchmark
guided,2000,1000,2,16271,.488,20.0,benchmark
guided,3000,1000,2,36632,.217,10.0,benchmark
guided,1000,3000,2,11572,.687,30.0,benchmark
guided,1000,5000,2,19051,.417,20.0,benchmark
guided,1000,1000,4,2118,3.755,90.0,benchmark
guided,2000,1000,4,8446,.941,20.0,benchmark
guided,3000,1000,4,18916,.420,10.0,benchmark
guided,1000,3000,4,5854,1.358,30.0,benchmark
guided,1000,5000,4,9595,.829,20.0,benchmark
guided,1000,1000,8,1150,6.917,80.0,benchmark
guided,2000,1000,8,4563,1.743,20.0,benchmark
guided,3000,1000,8,10276,.774,0,benchmark
guided,1000,3000,8,3042,2.615,30.0,benchmark
guided,1000,5000,8,4959,1.604,20.0,benchmark
guided,1000,1000,16,782,10.172,60.0,benchmark
guided,2000,1000,16,3126,2.544,10.0,benchmark
guided,3000,1000,16,7018,1.133,0,benchmark
guided,1000,3000,16,1945,4.089,20.0,benchmark
guided,1000,5000,16,3091,2.573,10.0,benchmark
guided,1000,1000,24,664,11.980,40.0,benchmark
guided,2000,1000,24,2677,2.971,10.0,benchmark
guided,3000,1000,24,6006,1.324,0,benchmark
guided,1000,3000,24,1743,4.563,10.0,benchmark
guided,1000,5000,24,2808,2.832,10.0,benchmark
guided,1000,1000,32,678,11.733,30.0,benchmark
guided,2000,1000,32,2683,2.964,0,benchmark
guided,3000,1000,32,6084,1.307,0,benchmark
guided,1000,3000,32,1740,4.571,10.0,benchmark
guided,1000,5000,32,2764,2.878,0,benchmark
guided,1000,1000,64,674,11.802,10.0,benchmark
guided,2000,1000,64,2701,2.945,0,benchmark
guided,3000,1000,64,6037,1.317,0,benchmark
guided,1000,3000,64,1710,4.652,0,benchmark
guided,1000,5000,64,2819,2.821,0,benchmark
